Date,WHSCC_Staff_N1,WHSCC_Staff_N2,WHSCC_NIC_E_N1,WHSCC_NIC_E_N2,WHSCC_NIC_E_N3,WHSCC_NIC_E_N4,WHSCC_NIC_E_N5,WHSCC_NIC_E_N6,WHSCC_NIC_E_N7,WHSCC_NIC_E_N8,WHSCC_NIC_E_N9,WHSCC_NIC_E_N10,WHSCC_NIC_E_N11,WHSCC_NIC_E_N12,WHSCC_NIC_N_N1,WHSCC_NIC_N_N2,WHSCC_NIC_N_N3,WHSCC_NIC_N_N4,WHSCC_NIC_N_N5,WHSCC_NIC_N_N6,WHSCC_NIC_N_N7,WHSCC_NIC_N_N8,WHSCC_NIC_N_N9,WHSCC_NIC_N_N10,WHSCC_NIC_N_N11,WHSCC_NIC_PoB_N1,WHSCC_NIC_PoB_N2,WHSCC_NIC_PoB_N3,WHSCC_NIC_PoB_N4,WHSCC_NIC_PoB_N5,WHSCC_NIC_PoB_N6,WHSCC_NIC_PoB_N7,WHSCC_NIC_PoB_N8,WHSCC_NIC_PoB_N9,WHSCC_NIC_PoB_N10,WHSCC_NIC_S_N1,WHSCC_NIC_S_N2,WHSCC_NIC_S_N3,WHSCC_NIC_S_N4,WHSCC_NIC_S_N5,WHSCC_NIC_S_N6,WHSCC_NIC_S_N7,WHSCC_NIC_S_N8,WHSCC_NIC_S_N9,WHSCC_NIC_S_N10,WHSCC_NIC_S_N11,WHSCC_NIC_S_N12,WHSCC_NIC_L_N1,WHSCC_NIC_L_N2,WHSCC_NIC_L_N3,WHSCC_NIC_L_N4,WHSCC_NIC_L_N5,WHSCC_NIC_L_N6,WHSCC_NIC_L_N7,WHSCC_NIC_L_N8,WHSCC_NIC_L_N9,WHSCC_NIC_L_N10,WHSCC_NIC_ST_N1,WHSCC_NIC_ST_N2,WHSCC_NIC_ST_N3,WHSCC_NIC_ST_N4,WHSCC_NIC_ST_N5,WHSCC_NIC_ST_N6,WHSCC_NIC_SC_N1,WHSCC_NIC_SC_N2,WHSCC_NIC_SC_N3,WHSCC_NIC_SC_N4,WHSCC_NIC_SC_N5,WHSCC_NIC_TE_N1,WHSCC_NIC_TE_N2,WHSCC_NIC_TE_N3,WHSCC_NIC_TE_N4,WHSCC_NIC_TE_N5,WHSCC_NIC_TE_N6,WHSCC_NIC_HiS_N1,WHSCC_NIC_HiS_N2,WHSCC_NIC_HiS_N3,WHSCC_NIC_HiS_N4,WHSCC_NIC_LoS_N1,WHSCC_NIC_ LoS_N2,WHSCC_NIC_ LoS_N3,WHSCC_NIC_ LoS_N4,WHSCC_NIC_WSS_N1,WHSCC_NIC_WSS_N2,WHSCC_NIC_LT_N1,WHSCC_NIC_LT_N2,WHSCC_NIC_RoI_N1,WHSCC_NIC_RoI_N2,WHSCC_AC_Total,WHSCC_AC_AvgCC,WHSCC_AC_CpBDayR,WHSCC_AC_CDpBDayR,Fin_CpBDay_Total,Fin_PH_N1,Fin_PH_N2,Fin_PH_N3,Fin_PH_N4,Fin_PH_N5,Fin_PH_N6,Fin_CSDpBDay_N1,Fin_CSDpBDay_N2,Fin_CSDpBDay_N3,Fin_CSDpBDay_N4,Fin_CSDpBDay_N5,Fin_CSDpBDay_N6,Fin_CSDpBDay_N7,Fin_CSDpBDay_N8,Fin_CSDpBDay_N9,Vol_Hours,Comments
12002,6,15,12,12,1,1,8,12,8,10,8,10,3,4,6,5,2,5,1,1,4,5,5,1,5,4,5,7,5,7,6,4,7,4,5,17,17,9,10,8,11,1,13,6,15,14,19,6,5,1,7,9,8,5,5,0,9,8,1,10,1,1,7,4,6,6,8,0,6,0,5,3,5,6,4,1,6,5,1,6,1,2,12,10,4,13,13,1,17,$218.00,0.13,"$1,310.00",$585.00,"4,478","4,286","1,698","1,680","3,310","9,042","$13,435.00","$11,329.00","$4,841.00","$13,631.00","$13,747.00","$17,729.00","$19,321.00","$3,968.00","$1,161.00","1,807",Comment text to 300 characters
22002,11,13,14,12,0,12,5,13,10,7,0,2,0,12,13,0,3,4,0,5,0,0,2,4,3,0,4,4,6,5,4,7,6,6,4,16,19,19,14,13,6,1,4,0,0,2,1,9,7,4,5,8,8,6,8,3,8,8,9,8,5,6,1,4,8,10,9,6,3,5,5,6,4,5,3,6,5,1,4,3,6,1,2,3,8,12,7,5,20,$303.00,0.77,$889.00,"$1,408.00","6,397","6,722","1,757","7,263","8,888","1,966","$19,489.00","$6,597.00","$17,056.00","$12,738.00","$6,994.00","$8,210.00","$1,236.00","$13,986.00","$16,916.00","9,762",Comment text to 300 characters
32002,11,0,0,11,7,5,7,12,12,10,13,1,6,13,12,0,2,4,1,4,2,1,1,4,3,1,4,5,6,7,7,5,6,7,7,10,20,12,0,18,15,11,7,10,4,0,1,2,4,1,1,8,2,5,0,8,0,9,9,2,1,9,1,8,9,9,8,10,3,5,0,1,3,2,4,5,5,2,6,0,3,1,12,10,10,8,1,7,23,"$1,217.00",0.51,$43.00,$905.00,"3,121","1,914",786,"9,292","6,183","5,552","$14,225.00","$16,462.00","$15,343.00","$3,593.00","$12,513.00","$19,137.00","$1,717.00","$18,921.00",$506.00,"9,421",Comment text to 300 characters
42002,7,10,11,4,8,7,6,5,6,2,14,2,1,12,2,0,0,0,4,4,2,1,5,5,4,2,5,6,6,7,5,7,7,4,7,11,18,19,17,17,3,6,19,4,3,20,17,5,10,3,1,9,3,0,2,8,5,10,2,9,0,6,1,1,10,1,6,2,2,2,0,5,2,6,3,2,3,6,2,5,0,3,6,15,1,3,9,8,4,$134.00,0.64,"$1,818.00","$1,759.00","6,706","6,805","5,923","6,693","1,631","7,634","$19,192.00","$11,901.00","$12,263.00","$8,701.00",$94.00,"$16,914.00","$10,718.00","$18,962.00","$16,678.00","8,671",Comment text to 300 characters
52002,1,13,14,0,11,6,0,6,10,5,10,13,6,3,14,4,5,5,1,4,1,1,4,1,2,0,7,4,4,6,6,7,7,7,4,9,14,0,2,0,13,5,8,1,18,6,20,8,0,5,5,5,1,1,10,0,6,8,8,0,1,1,9,10,3,1,5,1,6,4,5,3,0,2,4,6,3,0,1,1,2,6,3,11,10,7,8,11,15,"$1,078.00",0.77,"$1,346.00","$1,867.00","9,767","1,431","5,307","7,491","7,300","7,974","$3,570.00","$15,796.00",$254.00,"$20,119.00","$16,384.00","$9,483.00",$10.00,"$4,910.00",$976.00,"3,680",Comment text to 300 characters
62002,0,8,6,7,13,13,6,10,1,1,6,2,15,4,9,3,0,0,0,3,1,5,4,2,0,4,7,6,4,7,4,4,6,5,7,15,7,9,19,17,3,17,7,9,13,10,9,3,0,6,7,6,5,10,6,4,2,0,3,0,0,10,4,5,2,7,9,2,0,4,2,3,5,6,6,0,3,5,0,5,2,0,2,13,8,13,7,6,0,"$1,208.00",0.69,$896.00,$642.00,"9,444","5,139","3,162","9,965","6,033",763,"$12,126.00","$8,278.00","$19,272.00","$8,936.00","$1,546.00","$8,413.00","$16,175.00","$11,655.00","$15,020.00","4,501",Comment text to 300 characters
72002,1,8,10,4,13,4,15,7,9,9,3,15,15,1,1,5,4,0,5,1,4,2,3,2,2,3,6,7,5,7,4,6,5,7,5,4,14,2,3,15,5,2,0,10,15,13,9,4,7,8,6,1,6,5,0,5,10,0,1,7,8,3,2,3,1,0,9,9,4,0,4,1,5,0,1,1,1,6,2,4,1,4,3,13,12,3,9,13,12,$474.00,0.27,"$1,720.00","$1,460.00","9,016",39,"7,631","6,843",521,"6,205","$6,335.00","$12,466.00","$13,361.00","$2,909.00","$2,851.00","$11,485.00","$17,932.00","$6,821.00","$11,605.00","3,666",Comment text to 300 characters
82002,3,8,1,10,8,11,14,2,6,4,13,0,7,14,7,1,2,1,4,0,0,4,5,1,1,0,6,5,6,5,7,5,4,6,6,9,17,0,18,9,20,3,11,12,18,18,13,7,3,8,2,2,10,4,6,2,8,10,5,8,10,5,0,6,8,4,6,9,2,4,1,0,2,6,1,3,2,5,3,6,5,3,1,4,4,5,3,11,16,"$1,334.00",0.95,"$1,886.00","$2,332.00",390,"5,445","2,533","6,237","9,259","6,916","$4,027.00",$601.00,"$15,144.00","$7,641.00","$3,218.00","$7,962.00","$19,672.00","$10,691.00","$18,229.00","2,339",Comment text to 300 characters
92002,8,3,7,10,5,8,8,11,6,15,10,5,14,15,8,3,3,1,4,2,3,3,5,2,2,5,7,7,4,4,7,6,6,7,7,0,11,6,16,14,3,10,1,16,17,6,14,0,6,3,4,8,10,0,6,0,4,3,5,8,3,6,4,10,4,7,6,3,4,6,0,1,5,4,5,0,1,0,3,5,2,0,2,7,4,6,7,4,7,$875.00,1.00,"$1,469.00",$189.00,"7,267","9,217","4,276","9,453","2,805","7,595","$7,577.00","$5,718.00","$18,199.00","$2,210.00","$6,463.00","$12,068.00","$5,743.00","$1,212.00","$15,486.00","1,007",Comment text to 300 characters
102002,10,5,2,15,8,15,2,2,8,14,12,10,6,12,11,3,4,1,5,2,5,2,0,1,2,5,7,7,6,4,7,7,6,4,4,20,10,5,20,12,17,18,17,14,1,5,18,0,5,9,1,4,5,10,8,0,1,9,7,8,6,1,1,8,3,10,9,7,1,0,0,3,3,0,5,2,5,4,3,4,1,5,1,11,14,13,11,9,3,"$1,233.00",0.98,"$2,300.00",$192.00,"2,956","8,900","6,847","2,360",940,"2,907","$15,202.00","$2,497.00","$8,457.00","$4,848.00","$8,249.00","$13,144.00","$18,897.00","$3,805.00","$7,320.00","3,852",Comment text to 300 characters
